pmid,title,abstract,reviewer1_decision,reviewer2_decision,reviewer2_reason,adjudicator_decision,adjudicator_reason
36428492,Oncogenic Roles of Polycomb Repressive Complex 2 in Bladder Cancer and Upper Tract Urothelial Carcinoma.,"Cancers of the urinary tract are one of the most common malignancies worldwide, causing high morbidity and mortality, and representing a social burden. Upper tract urothelial carcinoma (UTUC) accounts for 5−10% of urinary tract cancers, and its oncogenic mechanisms remain elusive. We postulated that cancers of the lower and the upper urinary tract may share some important oncogenic mechanisms. Therefore, the oncogenic mechanisms discovered in the lower urinary tract may guide the investigation of molecular mechanisms in the upper urinary tract. Based on this strategy, we revisited a high-quality transcriptome dataset of 510 patients with non-muscle invasive bladder cancer (NMIBC), and performed an innovative gene set enrichment analysis of the transcriptome. We discovered that the epigenetic regulation of polycomb repressive complex 2 (PRC2) is responsible for the recurrence and progression of lower-track urinary cancers. Additionally, a PRC2-related gene signature model was discovered to be effective in classifying bladder cancer patients with distinct susceptibility of subsequent recurrence and progression (log-rank p < 0.001 and = 0.001, respectively). We continued to discover that the same model can differentiate stage T3 UTUC patients from stage Ta/T1 patients (p = 0.026). Immunohistochemical staining revealed the presence of PRC2 components (EZH2, EED, and SUZ12) and methylated PRC2 substrates (H3K27me3) in the archived UTUC tissues. The H3K27me3 exhibited higher intensity and area intensity product in stage T3 UTUC tissues than in stage Ta/T1 tissues (p = 0.006 and 0.015, respectively), implicating stronger PRC2 activity in advanced UTUC. The relationship between H3K27 methylation and gene expression is examined using correlations. The H3K27me3 abundance is positively correlated with the expression levels of CDC26, RP11-2B6, MAPK1IP1L, SFR1, RP11-196B3, CDK5RAP2, ANXA5, STX11, PSMD5, and FGFRL1. It is also negatively correlated with CNPY2, KB-1208A12, RP11-175B9, ZNF692, RANP8, RP11-245C17, TMEM266, FBXW9, SUGT1P2, and PRH1. In conclusion, PRC2 and its epigenetic effects are major oncogenic mechanisms underlying both bladder cancer and UTUC. The epigenetically regulated genes of PRC2 in urothelial carcinoma were also elucidated using correlation statistics.",exclude,include,,include,PRC2-related gene signature model
36468020,Clinical value of M1 macrophage-related genes identification in bladder urothelial carcinoma and in vitro validation.,"Background: Tumor microenvironment (TME) takes a non-negligible role in the progression and metastasis of bladder urothelial carcinoma (BLCA) and tumor development could be inhibited by macrophage M1 in TME. The role of macrophage M1-related genes in BLCA adjuvant therapy has not been studied well. Methods: CIBERSOR algorithm was applied for identification tumor-infiltrating immune cells (TICs) subtypes of subjects from The Cancer Genome Atlas (TCGA) and Gene Expression Omnibus (GEO) data sets. We identified potential modules of M1 macrophages by weighted gene co-expression network analysis (WGCNA). Nomogram was determined by one-way Cox regression and lasso regression analysis for M1 macrophage genes. The data from GEO are taken to verify the models externally. Kaplan-Meier and receiver operating characteristic (ROC) curves validated prognostic value of M1 macrophage genes. Finally, we divided patients into the low-risk group (LRG) and the high-risk group (HRG) based on the median risk score (RS), and the predictive value of RS in patients with BLCA immunotherapy and chemotherapy was investigated. Bladder cancer (T24, 5637, and BIU-87) and bladder uroepithelial cell line (SV-HUC-1) were used for in vitro validation. Reverse transcription-quantitative polymerase chain reaction (RT-qPCR) was employed to validate the associated genes mRNA level. Results: 111 macrophage M1-related genes were identified using WGCNA. RS model containing three prognostically significant M1 macrophage-associated genes (FBXO6, OAS1, and TMEM229B) was formed by multiple Cox analysis, and a polygenic risk model and a comprehensive prognostic line plot was developed. The calibration curve clarified RS was a good predictor of prognosis. Patients in the LRG were more suitable for programmed cell death protein 1 (PD1) and cytotoxic T lymphocyte associate protein-4 (CTLA4) combination immunotherapy. Finally, chemotherapeutic drug models showed patients in the LRG were more sensitive to gemcitabine and mitomycin. RT-qPCR result elucidated the upregulation of FBXO6, TMEM229B, and downregulation of OAS1 in BLCA cell lines. Conclusion: A predictive model based on M1 macrophage-related genes can help guide us in the treatment of BLCA.Copyright © 2022 Yu, Huang, Li, Ou, Xu and Kang.",exclude,include,,include,3-gene M1 macrophage risk model
36505302,The predictive value of pyroptosis for the prognosis and immune escape of bladder cancer.,"To evaluate the predictive value of pyroptosis-related genes for the prognosis and immune escape of bladder cancer (BC).Transcriptomic and single nucleotide polymorphisms (SNPs) data were downloaded from The Cancer Genome Atlas (TCGA) and Gene Expression Omnibus (GEO) portal. Least absolute shrinkage and selection operator (LASSO) analysis was carried out to construct a prognostic risk model for BC patients.Based on the expression of 50 pyroptosis-related genes, BC patients from TCGA database were divided into two clusters, which showed significant differences in overall survival and disease specific survival. Furthermore, we intersected the differentially expressed genes between these two clusters with those identified from the GSE13507 dataset and finally identified eight survival related genes, which was used to construct a prognostic risk model by LASSO Cox regression. According to the model, the high-risk (HR) group was closely associated with poor survival or the advanced pathological stage of BC. In addition, the HR group was mainly enriched in cell cycle and immune-related pathways and had a higher TP53 mutation rate than the low-risk (LR) group. Furthermore, these two risk groups were significantly related to immune cell composition, immune cell infiltration, and immune response. Importantly, a higher expression of PD-1, PD-L1, and CTLA4 as well as higher immune exclusion scores were found in the HR group, suggesting a higher possibility of immune escape.Our studies revealed the key role of pyroptosis in predicting the prognosis, TP53 mutation, and immune escape of patients with BC.AJTR Copyright © 2022.",exclude,include,,include,8-gene pyroptosis risk model
36777726,Identification of platinum resistance-related gene signature for prognosis and immune analysis in bladder cancer.,"Purpose: Currently, there is limited knowledge about platinum resistance-related long non-coding RNAs (lncRNAs) in bladder cancer. We aim to identify platinum resistance-related lncRNAs and construct a risk model for accurate prognostic prediction of bladder cancer. Methods: Transcriptomic and clinical data were extracted from The Cancer Genome Atlas (TCGA) database, and platinum resistance-related genes were obtained from HGSOC-Platinum. The platinum resistance-related lncRNAs were obtained by the Spearman correlation analysis. Then, we constructed a risk score model through Cox regression analysis and the LASSO algorithm. The model was verified by analyzing the median risk score, Kaplan-Meier curve, receiver operating characteristic (ROC) curve, and heatmap. We also developed a nomogram and examined the relationship between the risk score model, immune landscape, and drug sensitivity. Lastly, we assessed the differential expression of PRR-lncRNAs in the cisplatin-resistant bladder cancer cell line and the normal bladder cancer cell line using qRT-PCR. Results: We developed and validated an eight-platinum resistance-related lncRNA risk model for bladder cancer. The risk model showed independent prognostic significance in univariate and multivariate Cox analyses. Based on multivariate analysis, we developed a nomogram. The modified model is both good predictive and clinically relevant after evaluation. Furthermore, immune-related and drug-sensitivity analyses also showed significant differential expression between high and low-risk groups. The qRT-PCR demonstrated that most of the lncRNAs were upregulated in cisplatin-resistance cancerous tissues than in control tissues. Conclusion: We have developed a predictive model based on eight platinum resistance-related lncRNAs, which could add meaningful information to clinical decision-making.Copyright © 2023 Li, Jiang, Yang, Zheng, Liu, Situ, Liu, Weipeng and Fu.",include,exclude,基于lncRNA签名，不符合纳入标准,exclude,lncRNA risk model
37064115,Identification of a novel defined inflammation-related long noncoding RNA signature contributes to predicting prognosis and distinction between the cold and hot tumors in bladder cancer.,"Bladder cancer (BLCA) is one of the most frequently diagnosed urological malignancies and is the 4th most common cancer in men worldwide. Molecular targets expressed in bladder cancer (BLCA) are usually used for developing targeted drug treatments. However, poor prognosis and poor immunotherapy efficacy remain major challenges for BLCA. Numerous studies have shown that long non-coding RNAs (LncRNAs) play an important role in the development of cancer. However, the role of lncRNAs related to inflammation in BLCA and their prognostic value remain unclear. Therefore, this study is aimed to explore new potential biomarkers that can predict cancer prognosis.We downloaded BLCA-related RNA sequencing data from The Cancer Genome Atlas (TCGA) and searched for inflammation-related prognostic long non-coding RNAs (lncRNAs) by univariate Cox (uniCox) regression and co-expression analysis. We used the least absolute shrinkage and selection operator (LASSO) analysis to construct an inflammation-related lncRNA prognosis risk model. Samples were divided into high-risk score (HRS) group and low-risk score (LRS) group based on the median value of risk scores. The independent variable factors were identified by univariate Cox (uni-Cox) and multivariate Cox (multi-Cox) regression analyses, and receiver operating characteristic (ROC) curves were used to compare the role of different factors in predicting outcomes. Nomogram and Calibration Plot were generated by the R package rms to analyze whether the prediction results are correct and show good consistency. Correlation coefficients were calculated by Pearson analysis. The Kaplan-Meier method was used to assess the prognostic value. The expression of 7 lncRNAs related with inflammation was also confirmed by qRT-PCR in BLCA cell lines. Kyoto Encyclopedia of Gene and Genome (KEGG) pathways that were significantly enriched (P < 0.05) in each risk group were identified by the GSEA software. The R package pRRophetic was used to predict the IC50 of common chemotherapeutic agents. TIMER, XCELL, QUANTISEQ, MCPCOUNTER, EPIC and CIBERSORT were applied to quantify the relative proportions of infiltrating immune cells. We also used package ggpubr to evaluate TME scores and immune checkpoint activation in LRS and HRS populations. R package GSEABase was used to analyze the activity of immune cells or immune function. Different clusters of principal component analysis (PCA), t-distribution random neighborhood embedding (t-SNE), and Kaplan-Meier survival were analyzed using R package Rtsne's. The R package ConsensesClusterPlus was used to class the inflammation-related lncRNAs.In this study, a model containing 7 inflammation-related lncRNAs was constructed. The calibration plot of the model was consistent with the prognosis prediction outcomes. The 1-, 3-, and 5-year ROC curve (AUC) were 0.699, 0.689, and 0.699, respectively. High-risk patients were enriched in lncRNAs related with tumor invasion and immunity, and had higher levels of immune cell infiltration and immune checkpoint activation. Hot tumors and cold tumors were effectively distinguished by clusters 2 and 3 and cluster 1, respectively, which indicated that hot tumors are more susceptible to immunotherapy.Our study showed that inflammation-related LncRNAs are closely related with BLCA, and inflammation-related lncRNA can accurately predict patient prognosis and effectively differentiate between hot and cold tumors, thus improving individualized immunotherapy for BLCA patients. Therefore, this study provides an effective predictive model and a new therapeutic target for the prognosis and clinical treatment of BLCA, thus facilitating the development of individualized tumor therapy.Copyright © 2023 Xiong, Chen, Li, Yang, Zhang, Wang, Zhang, Peng, Li and Luo.",include,exclude,基于lncRNA签名，不符合纳入标准,exclude,lncRNA signature
37455996,Prediction of immune and targeted drug efficacy in pain-related risk subtypes for bladder cancer patients.,"Bladder cancer is a complex disease with high morbidity and mortality rates. At least 430,000 cases are diagnosed annually worldwide. Cancer pain is the most common and distressing symptom in cancer patients. Studies have reported depression, anxiety, and decreased quality of life in survivors of various cancers. The study of pain-related genes in cancer patients may provide a basis for developing targeted drugs for cancer therapy, which could reduce pain and improve quality of life of cancer patients. In this study, the mRNA expression and clinical data of bladder cancer patients were downloaded from public databases. A total of 103 pain-related genes were also downloaded from the public databases. Univariate Cox regression analysis identified 17 pain-related genes that were significantly associated with overall survival. We calculated a pain-related risk score for each patient, constructed a bladder cancer pain risk model, and categorized bladder cancer patients into two risk subtypes. Differences in prognosis, differential gene expression, immune cell signatures, hallmarks, metabolic pathways, and somatic mutations between the different risk subtypes were systematically investigated. Eight drugs associated with bladder cancer risk subtypes were identified. Their differences in the high- and low-risk subtypes of bladder cancer were examined. In addition, the response to immunotherapy was analyzed in patients with different pain-related subtypes. Results revealed significant differences in these characteristics. Finally, a predictive model for pain-related risk subtypes in patients with bladder cancer was established. The study findings provide a reference for prognostication and personalized medical treatment of bladder cancer patients.© 2023 The Authors.",exclude,include,,include,17-gene pain-related risk model
37701108,Novel potential urinary biomarkers for effective diagnosis and prognostic evaluation of high-grade bladder cancer.,"High-grade bladder cancer (HGBC) has a higher malignant potential, recurrence and progression rate compared to low-grade phenotype. Its early symptoms are often vague, making non-invasive diagnosis using urinary biomarkers a promising approach.The gene expression data from urine samples of patients with HGBC was extracted from the GSE68020 dataset. The clinical information and gene expression data in tumor tissues of HGBC patients were obtained from The Cancer Genome Atlas (TCGA) database. Multivariate Cox analysis was used to predict the optimal risk model. The protein-protein interaction (PPI) analysis was performed via the Search Tool for the Retrieval of Interacting Genes (STRING) database and visualized using Cytoscape. Overall survival (OS) was evaluated in the Gene Expression Profiling Interactive Analysis (GEPIA) online platform. Competing endogenous RNA (ceRNA) network was also visualized using Cytoscape. The expression levels of specific genes were assessed through quantitative real-time reverse transcription-polymerase chain reaction (qRT-PCR). Moreover, co-expressed genes and potential biological functions related to specific genes were explored based on the Cancer Cell Line Encyclopedia (CCLE) database.A total of 560 differentially expressed genes (DEGs) were identified when comparing the urine sediment samples from HGBC patients with the benign ones. Using these urinary DEGs and the clinical information of HGBC patients, we developed an optimal risk model consisting of eight genes to predict the patient outcome. By integrating the node degree values in the PPI network with the expression changes in both urine and tissue samples, eighteen hub genes were selected out. Among them, DKC1 and SNRPG had the most prominent comprehensive values, and EFTUD2, LOR and EBNA1BP2 were relevant to a worse OS in bladder cancer patients. The ceRNA network of hub genes indicated that DKC1 may be directly regulated by miR-150 in HGBC. The upregulation of both SNRPG and DKC1 were detected in HGBC cells, which were also observed in various tumor tissues and malignant cell lines, displaying high correlations with other hub genes.Our study may provide theoretical basis for the development of effective non-invasive detection and treatment strategies, and further research is necessary to explore the clinical applications of these findings.2023 Translational Cancer Research. All rights reserved.",exclude,include,,include,8-gene urinary prognostic model
37740761,Identifying possible hub genes and biological mechanisms shared between bladder cancer and inflammatory bowel disease using machine learning and integrated bioinformatics.,"Recent studies have shown that inflammatory bowel disease (IBD) is associated with bladder cancer (BC) incidence. But there is still a lack of understanding regarding its pathogenesis. Thus, this study aimed to identify potential hub genes and their important pathways and pathological mechanisms of interactions between IBD and BC using bioinformatics methods.The data from Gene Expression Omnibus (GEO) and the cancer genome atlas (TCGA) were analyzed to screen common differentially expressed genes (DEGs) between IBD and BC. The ""clusterProfiler"" package was used to analyze GO term and Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway enrichment in DEGs. After that, we conducted a weighted gene co-expression network analysis (WGCNA) on these DEGs to determine the vital modules and genes significantly related to BC. Protein-protein interaction (PPI) networks was used to identify hub genes. Further, the hub genes were used to develop a prognostic signature by Cox analysis. The validity of the ten hub DEGs was tested using three classification algorithms. Finally, we analyzed the microRNAs (miRNA)-mRNA, transcription factors (TFs)-mRNA regulatory network.Positive regulation of organelle fission, chromosomal region, tubulin binding, and cell cycle signaling pathway were the major enriched pathways for the common DEGs. PPI networks identified three hub proteins (AURKB, CDK1, and CCNA2) with high connectivity. Three machine-learning classification algorithms based on ten hub genes performed well for IBD and BC (accuracy > 0.80). The robust predictive model based on the ten hub genes could accurately classify BC cases with various clinical outcomes. Based on the gene-TFs and gene-miRNAs network construction, 9 TFs and 6 miRNAs were identified as potential critical TFs and miRNAs. There are 13 drugs that interact with the hub gene based on gene-drug interaction analysis.This study explored common gene signatures and the potential pathogenesis of IBD and BC. We revealed that an unbalanced immune response, cell cycle pathway, and neutrophil infiltration might be the common pathogenesis of IBD and BC. Molecular mechanisms for the treatment of IBD and CC still require further investigation.© 2023. The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",exclude,include,,include,10-hub-gene prognostic model
37802365,PDGFRA exhibits potential as an indicator of angiogenesis within the tumor microenvironment and is up-regulated in BLCA.,"Bladder cancer (BLCA) is a common type of urogenital malignancy worldwide. The recurrence and metastasis of bladder cancer are closely related to angiogenesis, but the underlying mechanisms are unclear. In this study, we developed a method to predict survival outcomes among BLCA patients, which could be used to guide immunotherapy and chemotherapy. We obtained patient data from The Cancer Genome Atlas (TCGA) and identified angiogenesis-related genes from the GeneCards database. First, we used differential expression analysis and univariate Cox analysis to identify angiogenesis-related genes and used correlation analysis to generate molecular subtypes based on M2 macrophages. Next, we constructed a prognostic signature consisting of four genes (ECM1, EFEMP1, SLIT2, and PDGFRΑ), which was found to be an independent prognostic factor. Higher risk scores were associated with worse overall survival and higher expression of immune checkpoints. We also evaluated immune cell infiltration using the CIBERSORT and ssGSEA algorithms. Additionally, we performed stratification analyses, constructed a nomogram, and predicted chemotherapeutic responses based on the risk signature. Finally, we validated our findings by using qRT-PCR as well as IHC data to detect the expression levels of the four genes at mRNA and protein levels in BLCA patients and obtained results that were consistent with our predictions. Our study demonstrates the utility of a four-gene prognostic signature for prognostication in bladder cancer patients and designing personalized treatments, which could provide new avenues for personalized management of these patients.Copyright © 2023 Elsevier Inc. All rights reserved.",exclude,include,,exclude,Single-gene PDGFRA study
37869074,Integrative analysis of triphenyl phosphate: contextual interpretation of bladder cancer cohort.,"In recent years, organophosphate ester flame retardants (OPFRs) have emerged as preferred alternatives to brominated flame retardants (BFRs) in materials such as building supplies, textiles, and furnishings. Simultaneously, a notable surge in bladder cancer incidences has been observed globally, particularly in developed nations, placing it as the 10th most prevalent cancer type. Among the extensive OPFRs, the linkage between triphenyl phosphate (TPP) and bladder cancer remains inadequately investigated. Hence, our study endeavors to elucidate this potential association. We sourced transcriptome profiles and TPP-related data from The Cancer Genome Atlas and Comparative Toxicogenomics databases. Using the ssGSEA algorithm, we established TPP-correlated scores within the bladder cancer cohort. Differentially expressed analysis enabled us to identify key genes in bladder cancer patients. We utilized the LASSO regression analysis, along with univariate and multivariate COX regression analyses to construct a prognostic prediction model. To uncover critical pathways involving key genes, we employed GSEA and GSVA enrichment analyses. Molecular docking analysis was performed to determine the binding capability between TPP and proteins. Our findings reveal that the TPP-centric risk model offers valuable prediction for bladder cancer cohorts. Furthermore, the reliability of this TPP-influenced risk model was verified through ROC curve analysis and survival studies. Intriguingly, TPP exposure appears to bolster the proliferation and invasiveness of bladder cancer cells. This study furnishes new insights into the possible benefits of minimizing TPP exposure for hindering bladder cancer progression.Copyright © 2023 Zhang, Huang, Huang, Zhang, Xu, Cheng, Qin, Lu and Wang.",exclude,include,,exclude,Environmental toxicology study without prognostic model
38017469,Identifying prognostic characteristics of m6A-related glycolysis gene and predicting the immune infiltration landscape in bladder cancer.,"Glucose metabolism is associated with the development of cancers, and m6A RNA methylation regulator-related genes play vital roles in bladder urothelial carcinoma (BLCA). However, the role of m6A-related glucose metabolism genes in BLCA occurrence and development has not yet been reported. Our study aims to integrate m6A- and glycolysis-related genes and find potential gene targets for clinical diagnosis and prognosis of BLCA patients.Sequencing data and clinical information on BLCA were extracted from common databases. Univariate Cox analysis was used to screen prognosis-related m6A glucose metabolism genes; BLCA subtypes were distinguished using consensus clustering analysis. Subsequently, genes associated with BLCA occurrence and development were identified using the ""limma"" R package. The risk score was then calculated, and a nomogram was constructed to predict survival rate of BLCA patients. Functional and immune microenvironment analyses were performed to explore potential functions and mechanisms of the different risk groups.Based on 70 prognosis-related m6A glucose metabolism genes, BLCA was classified into two subtypes, and 34 genes associated with its occurrence and development were identified. Enrichment analysis revealed an association of genes in high-risk groups with tricarboxylic acid cycle function and glycolysis. Moreover, significantly higher levels of seven immune checkpoints, 14 immune checkpoint inhibitors, and 32 immune factors were found in high-risk score groups.This study identified two biomarkers associated with BLCA prognosis; these findings may deepen our understanding of the role of m6A-related glucose metabolism genes in BLCA development. We constructed a m6A-related glucose metabolism- and immune-related gene risk model, which could effectively predict patient prognosis and immunotherapy response and guide individualized immunotherapy.© 2023. The Author(s).",exclude,include,,include,m6A-glycolysis gene risk model
38172584,Identification and validation of prognostic signature genes of bladder cancer by integrating methylation and transcriptomic analysis.,"Being a frequent malignant tumor of the genitourinary system, Bladder Urothelial Carcinoma (BLCA) has a poor prognosis. This study focused on identifying and validating prognostic biomarkers utilizing methylation, transcriptomics, and clinical data from The Cancer Genome Atlas Bladder Urothelial Carcinoma (TCGA BLCA) cohort. The impact of altered differentially methylated hallmark pathway genes was subjected to clustering analysis to observe changes in the transcriptional landscape on BLCA patients and identify two subtypes of patients from the TCGA BLCA population where Subtype 2 was associated with the worst prognosis with a p-value of 0.00032. Differential expression and enrichment analysis showed that subtype 2 was enriched in immune-responsive and cancer-progressive pathways, whereas subtype 1 was enriched in biosynthetic pathways. Following, regression and network analyses revealed Epidermal Growth Factor Receptor (EGFR), Fos-related antigen 1 (FOSL1), Nuclear Factor Erythroid 2 (NFE2), ADP-ribosylation factor-like protein 4D (ARL4D), SH3 domain containing ring finger 2 (SH3RF2), and Cadherin 3 (CDH3) genes to be the most significant prognostic gene markers. These genes were used to construct a risk model that separated the BLCA patients into high and low-risk groups. The risk model was also validated in an external dataset by performing survival analysis between high and low-risk groups with a p-value < 0.001 and the result showed the high group was significantly associated with poor prognosis compared to the low group. Single-cell analyses revealed the elevated level of these genes in the tumor microenvironment and associated with immune response. High-grade patients also tend to have a high expression of these genes compared to low-grade patients. In conclusion, this research developed a six-gene signature that is pertinent to the prediction of overall survival (OS) and might contribute to the advancement of precision medicine in the management of bladder cancer.© 2024. The Author(s).",exclude,include,,include,mRNA prognostic signature selected with methylation data
38183115,Transcriptomic insights into UTUC: role of inflammatory fibrosis and potential for personalized treatment.,"Upper tract urothelial carcinoma (UTUC) is a rare disease, belonging to the same category of urothelial cancers as bladder cancer (BC). Despite sharing similar non-surgical treatment modalities, UTUC demonstrates a higher metastasis propensity than BC. Furthermore, although both cancers exhibit similar molecular disease emergence mechanisms, sequencing data reveals some differences. Our study investigates the transcriptomic distinctions between UTUC and BC, explores the causes behind UTUC's heightened metastatic tendency, constructs a model for UTUC metastasis and prognosis, and propose personalized treatment strategies for UTUC.In our research, we utilized differential gene expression analysis, interaction networks, and Cox regression to explore the enhanced metastatic propensity of UTUC. We formulated and validated a prognostic risk model using diverse techniques, including cell co-culture, reverse transcription quantitative polymerase chain reaction (rt-qPCR), western blotting, and transwell experiments. Our methodological approach also involved survival analysis, risk model construction, and drug screening leveraging the databases of CTRPv2, PRISM and CMap. We used the Masson staining technique for histological assessments. All statistical evaluations were conducted using R software and GraphPad Prism 9, reinforcing the rigorous and comprehensive nature of our research approach.Screening through inflammatory fibrosis revealed a reduction of extracellular matrix and cell adhesion molecules regulated by proteoglycans in UTUC compared with BC, making UTUC more metastasis-prone. We demonstrated that SDC1, LUM, VEGFA, WNT7B, and TIMP3, are critical in promoting UTUC metastasis. A risk model based on these five molecules can effectively predict the risk of UTUC metastasis and disease-free survival time. Given UTUC's unique molecular mechanisms distinct from BC, we discovered that UTUC patients could better mitigate the issue of poor prognosis associated with UTUC's easy metastasis through tyrosine kinase inhibitors (TKIs) alongside the conventional gemcitabine and cisplatin chemotherapy regimen.The poor prognosis of UTUC because of its high metastatic propensity is intimately tied to inflammatory fibrosis induced by the accumulation of reactive oxygen species. The biological model constructed using the five molecules SDC1, LUM, VEGFA, WNT7B, and TIMP3 can effectively predict patient prognosis. UTUC patients require specialized treatments in addition to conventional regimens, with TKIs exhibiting significant potential.© 2023. The Author(s).",exclude,include,,include,5-molecule UTUC prognostic risk model
38217031,Deciphering the significance of anoikis in bladder cancer and systematic analysis of S100A7 as a potential therapeutic target.,"Bladder cancer is an epidemic and life-threating urologic carcinoma. Anoikis is a unusual type of programmed cell death which plays a vital role in tumor survival, invasion and metastasis. Nevertheless, the relationship between anoikis and bladder cancer has not been understood thoroughly.We downloaded the transcriptome and clinical information of BLCA patients from TCGA and GEO databases. Then, we analyzed different expression of anoikis-related genes and established a prognostic model based on TCGA database by univariate Cox regression, lasso regression, and multivariate Cox regression. Then the Kaplan-Meier survival analysis and receiver operating characteristic (ROC) curves were performed. GEO database was used for external validation. BLCA patients in TCGA database were divided into two subgroups by non-negative matrix factorization (NMF) classification. Survival analysis, different gene expression, immune cell infiltration and drug sensitivity were calculated. Finally, we verified the function of S100A7 in two BLCA cell lines.We developed a prognostic risk model based on three anoikis-related genes including TPM1, RAC3 and S100A7. The overall survival of BLCA patients in low-risk groups was significantly better than high-risk groups in training sets, test sets and external validation sets. Subsequently, the checkpoint and immune cell infiltration had significant difference between two groups. Then we identified two subtypes (CA and CB) through NMF analysis and found CA had better OS and PFS than CB. Besides, the accuracy of risk model was verified by ROC analysis. Finally, we identified that knocking down S100A7 gene expression restrained the proliferation and invasion of bladder cancer cells.We established and validated a bladder cancer prognostic model consisting of three genes, which can effectively evaluate the prognosis of bladder cancer patients. Additionally, through cellular experiments, we demonstrated the significant role of S100A7 in the metastasis and invasion of bladder cancer, suggesting its potential as a novel target for future treatments.© 2024. The Author(s).",exclude,include,,include,3-gene anoikis risk model
38282152,Unveiling Anoikis-related genes: A breakthrough in the prognosis of bladder cancer.,"Bladder cancer (BLCA) is a prevalent malignancy worldwide. Anoikis remains a new form of cell death. It is necessary to explore Anoikis-related genes in the prognosis of BLCA.We obtained RNA expression profiles from the The Cancer Genome Atlas (TCGA) and Gene Expression Omnibus databases for dimensionality reduction analysis and isolated epithelial cells, T cells and fibroblasts for copy number variation analysis, pseudotime analysis and transcription factor analysis based on R package. We integrated machine-learning algorithms to develop the artificial intelligence-derived prognostic signature (AIDPS).The performance of AIDPS with clinical indicators was stable and robust in predicting BLCA and showed better performance in every validation dataset compared to other models. Mendelian randomization analysis was conducted. Single nucleotide polymorphism (SNP) sites of rs3100578 (HK2) and rs66467677 (HSP90B1) exhibited significant correlation of bladder problem (not cancer) and bladder cancer, whereasSNP sites of rs3100578 (HK2) and rs947939 (BAD) had correlation between bladder stone and bladder cancer. The immune infiltration analysis of the TCGA-BLCA cohort was calculated via the ESTIMATE (i.e. Estimation of STromal and Immune cells in MAlignantTumours using Expression data) algorithm which contains stromal, immune and estimate scores. We also found significant differences in the IC50 values of Bortezomib_1191, Docetaxel_1007, Staurosporine_1034 and Rapamycin_1084 among the high- and low-risk groups.In conclusion, these findings indicated Anoikis-related prognostic genes in BLCA and constructed an innovative machine-learning model of AIDPS with high prognostic value for BLCA.© 2024 John Wiley & Sons Ltd.",exclude,include,,include,Machine-learning anoikis prognostic signature
38333832,The prognostic significance and clinical relevance of stem cell characteristic in bladder cancer.,"Bladder cancer (BLCA) is a common malignant tumor of urinary system and prognostic biomarkers are needed for better clinical decision-making and patient management. Cancer stem cells (CSCs) are involved in carcinogenesis, development, metastasis and recurrence of BLCA. This study explored the prognostic and predictive value of CSCs-related genes and laid the groundwork for precision treatment development in BLCA.The mRNA data and corresponding clinical information obtained from TCGA-BLCA cohort was used to discover biomarkers and develop CSCs-related prognostic model, which was further validated in GSE32548 and GSE32894 datasets. In addition, the association between CSCs-related risk score and therapeutic efficacy was analyzed to explore the potential predictive value of the prognostic model.We identified four CSCs-related subtypes and 900 differentially expressed genes (DEGs) among subtypes. Then the CSCs-related prognostic model was built based on 16 CSCs-related DEGs with the most significant prognostic value. Patients in the low-risk group had better overall survival than those in high-risk group (P < 0.001; HR, 0.42; 95 %CI, 0.31-0.57). Multivariable Cox analysis in training and test sets confirmed the independence of CSCs-related risk score as a prognostic factor (P < 0.05). The difference of survival between two risk groups were probably due to the significantly varied immune microenvironment based on the analysis of infiltrated immune cells. Additionally, the risk score was significantly associated with chemotherapy sensitivity and the response to anti-PD-L1 therapy (P < 0.05) which suggested a potential predictive value of CSCs-related risk model.We established a risk classifier based on 16 CSCs-related genes for predicting survival in patients with BLCA. The CSCs-related risk model has both prognostic value and potential predictive value for therapeutic efficacy, which brings us closer to understanding the important role of CSCs in BLCA and may provide guidance for clinical treatment decision-making and patient management. The clinical utility of the CSCs-related risk classifier warrants further studies.© 2024 The Authors. Published by Elsevier Ltd.",exclude,include,,include,16-gene cancer-stem-cell risk model
