pmid,pmcid,title,year,extraction_status,confidence,source,n_genes,genes,context,has_fulltext,consensus_decision
38507521,PMC11006495,Comprehensive analysis of scRNA-seq and bulk RNA-seq reveal the characteristics of disulfidptosis and a prognostic signature in BLCA.,2024,extracted,high,fulltext_window,3,DUSP2|SLCO1B3|CCK,"sights into their interplay (Figure 9K). DUSP2 and SLCO1B3 were differentially expressed in BLCA and had effects on malignant behaviors in BLCA cells Finally, we performed expression and survival analyses on the ten genes included in t he prognostic signature. Among them, DUSP2 and SICO1B3 were selected as key genes. At the single- cell level, the expression of DUSP2 and SLCO1B3 was significantly different between tumor tissue and normal tissue. Notably, the difference was more significant betwe",Y,include
38332160,PMC10853254,A novel anoikis-related gene signature identifies LYPD1 as a novel therapy target for bladder cancer.,2024,extracted,high,abstract,7,CALR|FASN|FOSL1|JUN|LYPD1|MST1R|SATB1,"Then, we established a ARGs risk model including CALR, FASN, FOSL1, JUN, LYPD1, MST1R, and SATB1, which was validated in the train and test set.",Y,include
38305808,PMC10911378,Prognostic model development and molecular subtypes identification in bladder urothelial cancer by oxidative stress signatures.,2024,extracted,high,abstract,4,RBPMS|CRYAB|P4HB|PDGFRA,"As a result, a new risk signature was created that includes 4 genes associated with OS (RBPMS, CRYAB, P4HB, and PDGFRA).",Y,include
37594617,,A gene signature of cancer-associated fibroblasts predicts prognosis and treatment response in bladder cancer.,2024,extracted,high,fulltext,4,COL18A1|TPM1|COL6A1|COL5A1,"Based on further mined 28 hub genes associated CAFs, we created a CAFs-related gene (CRG) signature consisting of four genes (COL18A1, TPM1, COL6A1, COL5A1) to construct a prognostic model.",Y,include
38273010,PMC10811216,Multi-omics reveals the role of ENO1 in bladder cancer and constructs an epithelial-related prognostic model to predict prognosis and efficacy.,2024,extracted,high,fulltext,6,AKR1B1|APOL1|TSPAN8|SPOCD1|P4HB|CTSE,"Next, among the 29 hub genes, six (AKR1B1, APOL1, TSPAN8, SPOCD1, P4HB and CTSE) were screened as candidate genes to construct the prognostic prediction signature using LASSO regression analysis (Fig.",Y,include
37849225,,Construction and Validation of a Prognostic Model Based on Pyroptosis-related Genes in Bladder Cancer.,2024,extracted,low,abstract,11,SH2D2A|CHMP4C|MRFAP1L1|GBP2|EHBP1|RAD9A|ANXA1|TMEM109|HEYL|APOL2|ORMDL1,"Bladder cancer (BCa) is a highly prevalent disease with a poor prognosis. There is no better forecasting method for it yet. Current studies demonstrate that pyroptosis is involved in the development and progression of various cancers.This study employed bioinformatics techniques to analyze the data of BCa patients obtained from the TCGA and GEO databases in order to construct a prognostic risk model. The TCGA dataset was used for the training set, and the multiple external datasets (including GS",N,include
38049825,PMC10694890,Development of a prognostic model to predict BLCA based on anoikis-related gene signature: preliminary findings.,2023,extracted,high,fulltext_window,8,CSPG4|CALR|NTF3|RPS6KA1|FASN|F10|NTRK3|S100A7,"alysis. B-D PCA plot of risk score in ARGs cohort. E Survival analyses for the A and B groups. F-G Difference expression analysis and immune infiltration of ARGs in two groups. H-J GO and KEGG analyses for ARGs of the two groupsThe nomogram based on risk score in BLCATo avoid overfitting, eight ARGs were further identified by the LASSO regression method (Fig. 3A, B). We constructed a risk score prognostic model by using 8 ARGs. Risk score = EXP CSPG4 × (0.164) + EXP CALR × (-0.321) + EXP NTF3 × ",Y,include
37968767,PMC10647093,A sialyltransferases-related gene signature serves as a potential predictor of prognosis and therapeutic response for bladder cancer.,2023,extracted,high,abstract,7,CD109|TEAD4|FN1|TM4SF1|CDCA7L|ATOH8|GZMA,"The SRGs-related prognostic model was generated with 7 key genes (CD109, TEAD4, FN1, TM4SF1, CDCA7L, ATOH8 and GZMA), and the accuracy for outcome prediction was validated with ROC curve and a constructed nomogram.",Y,include
37965307,PMC10641729,"Identification and validation of a dysregulated TME-related gene signature for predicting prognosis, and immunological properties in bladder cancer.",2023,extracted,high,abstract,9,C3orf62|DPYSL2|GZMA|SERPINB3|RHCG|PTPRR|STMN3|TMPRSS4|COMP,"A novel prognostic model based on nine TMRGs (including C3orf62, DPYSL2, GZMA, SERPINB3, RHCG, PTPRR, STMN3, TMPRSS4, COMP) was identified, and a TMEscore for OS prediction was constructed, with its reliable predictive performance in BC patients being validated.",Y,include
37919060,,Construction and Validation of a Prognostic Model of Metabolism-Related Genes Driven by Somatic Mutation in Bladder Cancer.,2023,extracted,high,fulltext_window,3,ABCC4|ATP8B2|ATP2B4,"enewas >0.7(Fig. 2C),indicatingthateachgenehasgood diagnostic ability for BLCA. Furthermore, the five genes wereusedtoconstructamodel, andtheAUCofwas0.97, whichconfirmedtheeffectivenessandagilityofthemodel (Fig.2D). 3.3 V alidation of the Prognostic Risk Model The risk curve and the heatmap of model genes ex- pression of two groups were drawn. The expression of ABCC4 in the low-risk group was higher and it had a HR <1, indicating that it might be a facourable factor in pre- dicting patient outco",Y,include
37807731,PMC10560892,[Risk modeling based on HER-2 related genes for bladder cancer survival prognosis assessment].,2023,extracted,high,abstract_window,5,BTC|CDC37|EGF|PTPRR|EREG,"related genes from the molecular signatures database (MsigDB), and crossing the two databases. Further identifying HRGs associated with bladder cancer survival (P < 0.05) by using single and multi-factor Cox regression analysis and constructing HRGs risk score model (HRSM), the bladder cancer patients were categorized into high-risk and low-risk groups accor-ding to the median risk score. Survival analysis of the patients in high- and low-risk groups was conducted using R language and correlatio",N,include
37845668,PMC10577908,"Establishment of prognostic model of bladder cancer based on apoptosis-related genes, in which P4HB promotes BLCA progression.",2023,extracted,high,fulltext_window,12,ABCB9|SPTBN2|GULP1|OAS1|ANXA6|IGF1|P4HB|RAD9A|DNASE2B|NES|FANCF|DPYSL2,"tially expressed ARGsFig. 2GO and KEGG enrichment analyses. A The bubble polt of GO analyses B the circle plot of GO analyses. C Results from KEGG analysis are presented in the bubble plot (from www.kegg.jp/kegg/kegg1.html)Construction of prognostic risk modelThe 481 differentially expressed genes were analyzed by univariate COX analysis, and 44 apoptosis-related genes significantly related to prognosis were obtained (P < 0.05), the results were plotted in the corresponding forest diagram (Fig. ",Y,include
37876438,PMC10590981,A transcriptome study of p53-pathway related prognostic gene signature set in bladder cancer.,2023,extracted,high,abstract,3,UGT2B4|DLX1|DSC1,"A signature gene set consisting of MDGA2, GNLY, GGT2, UGT2B4, DLX1, and DSC1 was created followed by a risk model.",Y,include
37747262,PMC10564431,Complement and coagulation cascades pathway-related signature as a predictor of immunotherapy in metastatic urothelial cancer.,2023,extracted,high,fulltext_window,5,CFB|C1QB|SERPING1|MASP1|F2R,". DEGs, differentially expressed genes; KEGG, Kyoto Encyclopedia of Genes and Genomes; CR, complete response; PR, partial response SD, stable disease; PD, progressive disease; ssGSEA, single sample gene set enrichment analysis.Construction of a CCCP signature that predicts efficacy for ICIsTo further demonstrate the role of CCCP in the efficacy of ICIs, a total of 69 genes that regulate or mediate CCCP were collected as candidate genes from MSigDB. To specifically identify the core genes which p",Y,include
37745978,PMC10512444,A prognostic signature based on seven T-cell-related cell clustering genes in bladder urothelial carcinoma.,2023,extracted,high,abstract_window,7,HSPA2|A2M|JUN|PDGFRB|GBP2|LGALS1|GAS6,"s database was used to classify the immune cells of BLCA. And the final seven T-cell-related cell clustering genes associated with BLCA prognosis (HSPA2, A2M, JUN, PDGFRB, GBP2, LGALS1, and GAS6) were screened out, and then used for constructing the prognostic model against BLCA based on the Cox and LASSO regression analysis. Satisfactorily, the model could efficiently evaluate the overall survival of BLCA and had the potential to be applied for the clinic treatment. Moreover, we also revealed t",Y,include
37244876,PMC11797720,Integrated analysis of single-cell and bulk RNA-sequencing identifies a signature based on T-cell marker genes to predict prognosis and immunotherapy response in bladder cancer.,2023,extracted,high,fulltext,7,LGALS1|CTSS|GZMA|CDK2AP2|TALDO1|ANXA1|TSPO,"In this study, the prognostic signature consisted of 7 T-cell marker genes, including LGALS1, CTSS, GZMA, CDK2AP2, TALDO1, ANXA1, and TSPO.",Y,include
37588995,PMC10426760,The G protein-coupled receptor-related gene signatures for predicting prognosis and immunotherapy response in bladder urothelial carcinoma.,2023,extracted,high,fulltext_window,3,MIF-|CD74|CXCR4,"isk factor for overall survival in BLCA. In exploring the level of immune infiltration in BLCA, we found that T cells were the predominant immune cell type in BLCA, and that the level of immune infiltration differed among risk groups, with lower GPR signatures or higher TME signatures implying higher levels of immune infiltration. In BLCA, higher levels of immune infiltration represent a better response to immunotherapy. In exploring the independent risk factors for overall survival in BLCA, we ",Y,include
37578544,,A novel CD8+ T cell-related gene signature for predicting the prognosis and immunotherapy efficacy in bladder cancer.,2023,extracted,high,fulltext,4,APOL6|CIITA|ETV7|SH2D2A,"Then, these significant genes were subsequently entered for LASSO regression analysis to construct a novel prognostic model based on four CD8+ T cell-related genes (including APOL6, CIITA, ETV7, SH2D2A) (Supplemental Fig.",Y,include
37301098,,FGFR3 mutation characterization identifies prognostic and immune-related gene signatures in bladder cancer.,2023,extracted,high,fulltext_window,3,ANXA1|CLSTN2|PLEKHG4B,"LASSO) Cox regression analysis with L1 penalty was applied, and 20 immune-related DEGs with the highest prognostic value were obtained [ 25 ]. Further, we conducted 100 repetitions of LASSO Cox regression Cox analysis within the 20 genes to make the prognostic model robust. Six genes that occurred > 80 times were retained in this round of screening. The Akaike information criterion (AIC) is an estimator of prediction error and thereby relative quality of statistical models for a given set of dat",Y,include
37423913,,"Construction and experimental validation of a macrophage cell senescence-related gene signature to evaluate the prognosis, immunotherapeutic sensitivity, and chemotherapy response in bladder cancer.",2023,extracted,high,abstract_window,3,AKR1B1|ID1|TGFB1I1," are largely unknown, especially in bladder cancer (BLCA). Based on the single-cell RNA sequencing of a primary BLCA sample, 23 macrophage-related genes were identified. Genomic difference analysis, LASSO, and Cox regression were used to develop the risk model. TCGA-BLCA cohort (n = 406) was utilized as the training cohort, and then, three independent cohorts (n = 90, n = 221, n = 165) from Gene Expression Omnibus, clinical samples from the local hospital (n = 27), and in vitro cell experiments ",N,include
37379131,PMC10333061,Construction and experimental validation of a B cell-related gene signature to predict the prognosis and immunotherapeutic sensitivity in bladder cancer.,2023,extracted,low,fulltext,9,ANXA1|CALD1|EMP1|ABRACL|BTG1|MDK|IL32|ARPC5|PSMD2,"A sum of 9 genes was contained in this predictive model, including ANXA1, CALD1, EMP1, ABRACL, BTG1, MDK, IL32, ARPC5, and PSMD2, almost all of which were significantly associated with B cell infiltration proportion (all P < 0.05, Figure 4F), indicating that BCRS might be associated with B cell infiltration in BLCA samples (see below for more analyses).",Y,include
37152941,PMC10154596,"Crosstalk of disulfidptosis-related subtypes, establishment of a prognostic signature and immune infiltration characteristics in bladder cancer based on a machine learning survival framework.",2023,extracted,high,fulltext_window,4,SLC7A11|SLC3A2|RPN1|NCKAP1,"amples were classified into different clusters according to the expression levels of the DRGs. Subsequently, to explore the impact of different disulfidptosis patterns on patient prognosis, this study constructed a disulfidptosis- related prognostic signature (DRPS), with better immunotherapy outcomes for patients in the low-risk group.Materials and methodsData collection and processionRNA-seq data and clinical information for BLCA patients were collected from two sources: GSE 13507 (http://www.",Y,include
36973645,PMC10041757,Identification and validation of tumor-infiltrating lymphocyte-related prognosis signature for predicting prognosis and immunotherapeutic response in bladder cancer.,2023,extracted,high,fulltext_window,5,EFEMP1|ATP8B2|ANKRD44|SNAI3|IGF1,"erapy with increased anti-CTLA4 and anti-PD-1 therapeutic potency.Fig. 8Evaluation of drug sensitivity and immunotherapy. a, b Sensitivity analysis of chemotherapeutic drugs between different risk groups; c The relationship between five genes in the signature and the drug sensitivity; d The comparison of immunophenoscore (IPS) between different risk subgroupsSingle-cell analysis of hub genesTo investigate the expression of key genes in the TME of bladder cancer (BCa), we conducted single-cell an",Y,include
38073378,PMC12412879,A new immune-related gene signature predicts the prognosis and immune escape of bladder cancer.,2023,extracted,medium,abstract_window,5,PSMC1|RAC3|ROBO2|ITGB3|TP53,"f IRGs for prognosis and immune escape in BC.We comprehensively analyzed the transcriptomic and clinical information of 430 cases, including 19 normal and 411 BC patients from the TCGA database, and verified 165 BC cases in the GSE13507 dataset. The risk model was constructed based on IRGs by applying LASSO Cox regression and exploring the relationship between the risk score and prognosis, gene mutations, and immune escape in BC patients.We identified 4 survival-related genes (PSMC1, RAC3, ROBO2",N,include
36455365,,Five-gene signature for the prediction of response to immune checkpoint inhibitors in patients with gastric and urothelial carcinomas.,2023,extracted,high,fulltext,4,UCHL1|TYK2|PRKD1|ARMCX1,"Relative mRNA expression levels of the IMAGiC signature gene set in the responder group The relative mRNA expression (RQ) levels of UCHL1 , TYK2 , PRKD1 , and ARMCX1 in 49 patients with GC (n = 33) or urothelial carcinoma (n = 16) are shown in Supplementary Fig.",Y,include
36620542,PMC9815449,Tumour microenvironment landscape and immunotherapy response in bladder cancer decoded by stromal MOXD1 based on copper-related genes signature.,2022,extracted,high,fulltext,14,HEPH|LOXL2|MOXD1|S100A5|SNAI3|SNCB|ACLY|GCLM|GPX1|OXSM|MT1A|TFRC|NDOR1|STEAP4,"To construct a prognostic risk score signature, the candidate genes were narrowed to 14 genes (HEPH, LOXL2, MOXD1, S100A5, SNAI3, SNCB, ACLY, GCLM, GPX1, OXSM, MT1A, TFRC, NDOR1, and STEAP4) by LASSO Cox regression analysis ( Figures 1F, G ).",Y,include
36527532,,Construction and experimental validation of a B cell senescence-related gene signature to evaluate prognosis and immunotherapeutic sensitivity in bladder cancer.,2022,extracted,manual,supplement,12,ASPH|BLVRA|CAV1|CEBPB|CYR61|GNG11|ID1|LGALS3|LIMA1|PSMB5|CAVIN1|TMSB4X,Supplementary File 5 Table S3 lists the 12 overlapping B cell senescence-related genes.,Y,include
36568387,PMC9780475,TP53-related signature for predicting prognosis and tumor microenvironment characteristics in bladder cancer: A multi-omics study.,2022,extracted,high,fulltext_window,3,MMP2|TREM2|TP53," Urinary bladder cancer Tregs suppress MMP2 and potentially regulate invasiveness. Cancer Immunol. Res. 6 (5), 528–538. 10.1158/2326-6066.Cir-17-0466 Wu X., Lv D., Cai C., Zhao Z., Wang M., Chen W., et al. (2020). A TP53-associated immune prognostic signature for the prediction of overall survival and therapeutic responses in muscle-invasive bladder cancer. Front. Immunol. 11, 590618. 10.3389/fimmu.2020.590618 Xiong D., Wang Y., You M. (2020). A gene expression signature of TREM2(hi) macrophages",Y,include
35918812,PMC9552307,Discoidin Domain Receptor-Driven Gene Signatures as Markers of Patient Response to Anti-PD-L1 Immune Checkpoint Therapy.,2022,extracted,high,abstract_window,3,DDR2|DDR1|DDR1-,"er this gene family may provide ICT response prediction.We assessed mRNA expression of DDR2 and its family member DDR1. Transcriptome analysis of bladder cancer (BCa) models in which DDR1 and 2 were perturbed was used to derive DDR1- and DDR2-driven signature scores. DDR mRNA expression and gene signature scores were evaluated using BCa-The Cancer Genome Atlas (n = 259) and IMvigor210 (n = 298) datasets, and their relationship to BCa subtypes, pathway enrichment, and immune deconvolution analyse",N,include
36211821,PMC9537622,Prognostic Signature Development on the Basis of Macrophage Phagocytosis-Mediated Oxidative Phosphorylation in Bladder Cancer.,2022,extracted,high,abstract,4,PTPN6|IKZF3|HDLBP|EMC1,"Finally, using TCGA data set, a predictive nomogram was built.In BCa, a four-gene signature of oxidative phosphorylation composed of PTPN6, IKZF3, HDLBP, and EMC1 was found to predict overall survival.",Y,include
36211359,PMC9539738,A novel T-cell proliferation-associated regulator signature pre-operatively predicted the prognostic of bladder cancer.,2022,extracted,high,fulltext,4,CXCL12|AHNAK|AHCY|HOMER1,"These results suggest a potential role of T lymphocyte proliferation regulators in BCa progression and the possibility of prognostic modeling with these T lymphocyte proliferation regulators.The prognostic model proposed in this study consisted of four T cell proliferation regulators (CXCL12, AHNAK, AHCY and HOMER1).AHNAK is the largest protein in the human body and participates in cytoskeletal structure formation, muscle regeneration and calcium homeostasis (38).",Y,include
36158580,PMC9493074,Identification of hexosamine biosynthesis pathway as a novel prognostic signature and its correlation with immune infiltration in bladder cancer.,2022,extracted,high,fulltext,5,GFPT1|GFPT2|GNPNAT1|PGM3|UAP1,"The significance threshold was defined as p < 0.05.Construction and evaluation of the prognosis modelWith rms package for R software, the nomograms were established by incorporating GFPT1, GFPT2, GNPNAT1, PGM3, and UAP1 mRNA expression characteristics, and concordance index (C-index) was used to measure the predictive accuracy of the nomogram.",Y,include
35949618,PMC9353228,Prognostic value and potential biological functions of ferroptosis-related gene signature in bladder cancer.,2022,extracted,high,fulltext_window,6,CRYAB|TFRC|ZEB1|SQLE|G6PD|ACSF2," Low20 (5.0)105 (63.6) High377 (94.3)60 (36.4) Unknown3 (0.7)0Vascular invasion Yes-62 (37.6) No-103 (62.4)Stage I2 (0.5)- II127 (31.8)- III138 (34.5)- IV131 (32.7)- Unknown2 (0.5)-Overall survival, months48.4 (1.03-136.97)-Risk, based on the 6-gene signature Low200 (50.0)83 (50.3) High200 (50.0)82 (49.7)Values are expressed as n (%) or the median (range). GEO, Gene Expression Omnibus; TCGA, The Cancer Genome Atlas; OS, overall survival.Identification of FRGs in the TCGA cohortWhen tumor and nor",Y,include
35730624,,Comparison of multiple gene expression platforms for measuring a bladder cancer hypoxia signature.,2022,extracted,high,fulltext_window,3,CAD|UBC|POLR2A,"73% for Tlda and clariom; 78% for clariom and nanoString; and 78% for TLDA and NanoString. As the most significant correlation and highest concordance were with n anoString, further analyses were carried out using this platform. expression levels of signature ec genes determined by nanoString are shown in Fig. 2a. Four of the ec genes had higher expression than the highest expressed signature gene. To ensure that the HS was not biased by including four highly expressed ec genes, normalisation wa",Y,include
34426176,,Gender-specific Stratification of Survival Following Immune Checkpoint Inhibitor Therapy Based on Intratumoral Expression of a B cell Gene Signature.,2022,extracted,high,author_github_code,17,BLK|CD19|FCRL2|MS4A1|KIAA0125|TNFRSF17|TCL1A|SPIB|PNOC|CD8A|GZMA|GZMB|IFNG|CXCL9|CXCL10|PRF1|TBX21,Composite B-cell and CD8+ T effector signature; original model classified B8T high/high using these two gene lists. Lists were verified from the authors' published analysis repository.,Y,include
35626146,PMC9140126,Gene Expression Monotonicity across Bladder Cancer Stages Informs on the Molecular Pathogenesis and Identifies a Prognostic Eight-Gene Signature.,2022,extracted,high,abstract,8,AKAP7|ANLN|CBX7|CDC14B|ENO1|GTPBP4|MED19|ZFP2,"An eight-gene signature, consisting of the genes AKAP7, ANLN, CBX7, CDC14B, ENO1, GTPBP4, MED19, and ZFP2, had independent prognostic value in both the discovery and validation sets.",Y,include
35646934,PMC9133907,New Prognostic Gene Signature and Immune Escape Mechanisms of Bladder Cancer.,2022,extracted,high,fulltext_window,4,CD96|IBSP|LINC01871|PYHIN1,".0180997, 4 genes were identified (Supplementary Table S4): CD96 (HR = 0.83), IBSP (HR = 1.09), LINC01871 (HR = 0.93), and PYHIN1 (HR = 0.97). These genes were included in the subsequent multivariate Cox regression analysis. Ultimately, a prognostic signature based on CD96 and IBSP was established (Figure 2E). As the risk scores increased, the deaths clustered (Figure 3A, top). The K-M survival curves revealed a significant disadvantage in OS for patients in the high-risk group (p < 0.0001; Figu",Y,include
35169299,,Identification of an immune gene-associated prognostic signature in patients with bladder cancer.,2022,extracted,high,fulltext_window,7,HLA-G|AGER|VEGFA|SCG2|IL9R|CTSE|NOX1," regulatory network of the BCTF-PIGs was shown in Fig. 4C. PPI analysis was performed to investigate the correlation between the BCTF and PIGs, which con ﬁrm the interactions between them (Fig. 4D). Construction and validation of the IGPM-based risk signature An IGPM-based risk signature was constructed, including 17 genes to predict overall survival in TCGA-BLCA cohort (Fig. 5A, 5B). The 17 genes are HLA-G, AGER, VEGFA, SCG2, IL9R, CTSE, NOX1, Fig. 5 Construction and validation of IGPM-based ri",Y,include
35480865,PMC9038413,In Silico Establishment and Validation of Novel Lipid Metabolism-Related Gene Signature in Bladder Cancer.,2022,extracted,high,fulltext_window,6,TM4SF1|KCNK5|FASN|IMPDH1|KCNJ15|GSE1,"lated significant genes in the training set. Based on a threshold p value less than 0.01, 46 genes were identified with significant prognostic differences (Supplementary Table S5). To further narrow the range of genes and construct a highly accurate prognostic model, LASSO Cox regression and multivariate Cox analysis were used to select the hub genes (Figures S3A and S3B). Combining the analysis, 5 target genes were selected. The 5-gene signature formula was as follows: risk score = expression l",Y,include
35300137,PMC8922338,An Oxidative Stress-Related Genes Signature for Predicting Survival in Bladder Cancer: Based on TCGA Database and Bioinformatics.,2022,extracted,high,fulltext_window,4,AGER|LDLR|MSRB3|RUNX2,"; CI, confidence interval. Figure 5PPI network and modules screening. (A) PPI network of DEOSGs; (B) critical module from PPI network. Green circles represent down-regulated genes, and red circles represent up-regulated genes.Figure 6Construction of prognostic model in the TCGA and GSE13507 cohort. (A) Univariate Cox regression analysis for identification prognosis-associated OS genes. (B–D) LASSO analysis and multivariate Cox regression analysis of prognosis-associated OS genes together to cons",Y,include
35309900,PMC8927776,Identification and Development of Inflammatory Response-Related Genes Signature Associated With Prognosis Evaluation and Immune Status of Bladder Cancer.,2022,extracted,high,fulltext_window,7,PTGER4|RIPK2|LDLR|ROS1|MMP14|TNFAIP6|MYC,"(PPI) network of these gene-coding proteins (Figure 2D) revealed the combination and interaction among these genes. To prevent the risk of overfitting and consequent deviation, we utilized the LASSO–Cox regression analysis to optimize the prognostic signature associated with the expression of the 10 genes above, in an attempt to avoid overfitting the model and the consequent deviation. Then, a better consolidated model consisted of seven core genes was established by the minimum value of lambda ",Y,include
35299749,PMC8921452,Identification of a Novel Tumor Microenvironment Prognostic Signature for Bladder Urothelial Carcinoma.,2022,extracted,high,abstract_window,5,HRG|CABP4|ZNF432|BLOC1S3|CXCL11,stasis of solid tumors and the effectiveness of immunotherapy against them. We investigated the prognostic role of TME-related genes based on transcriptomic data of bladder urothelial carcinoma (BLCA) and formulated a prediction model of TME-related signatures.Molecular subtypes were identified using the non-negative matrix factorization (NMF) algorithm based on TME-related genes from the TCGA database. TME-related genes with prognostic significance were screened with univariate Cox regression a,Y,include
35281080,PMC8905247,Integrated Analysis of Energy Metabolism Signature-Identified Distinct Subtypes of Bladder Urothelial Carcinoma.,2022,extracted,high,fulltext_window,16,FBP1|AOC2|SLC16A8|IDUA|CYP2C8|GPC2|HS3ST1|UGT2B7|GSTM1|CSPG4|ACY3|SLC16A3|TPST1|CES1|HSPG2|CYP1B1," CSCs (Figure 4E). Next, drug sensitivity was evaluated between the two clusters. Figures 4F,G show that energy metabolic status was significantly associated with the IC50 scores of doxorubicin and gemcitabine for BLCA.Energy Metabolism-Related Gene Signature IdentificationConsidering the close correlation between the prognosis of patients with BLCA and energy metabolism status, we suggest developing an energy metabolism-related gene signature for prognosis prediction. Based on DEGs between clus",Y,include
35205125,PMC8869209,Identification and Validation of an Annexin-Related Prognostic Signature and Therapeutic Targets for Bladder Cancer: Integrative Analysis.,2022,extracted,high,abstract_window,4,ANXA2|ANXA1|IL6|STAT3,"h increased OS. Through Oncomine and GEPIA2 database analysis, we found that ANXA2/3/4/13 were up-regulated, whereas ANXA1/5/6 were down-regulated in BC compared with normal bladder tissues. Further LASSO analysis built an Annexin-Related Prognostic Signature (ARPS, including four members ANXA1/5/6/10) in the TCGA BC cohort and validated it in three independent GEO BC cohorts (GSE31684, GSE32548, GSE48075). Multivariate COX analysis demonstrated that ARPS is an independent prognostic signature f",Y,include
35125116,PMC8819906,Identification of a chromatin regulator signature and potential candidate drugs for bladder cancer.,2022,extracted,high,fulltext,11,ZHX3|TCF4|SETD7|HMGA1|ARID3A|RAC3|DUSP1|SETBP1|CBX7|RCOR2|SATB1,"A risk model was successfully constructed with 11 genes (ZHX3, TCF4, SETD7, HMGA1, ARID3A, RAC3, DUSP1, SETBP1, CBX7, RCOR2, and SATB1).",Y,include
34644219,,Identification of a Novel Pyroptosis-Related Gene Signature for Predicting Prognosis in Bladder Cancer.,2022,extracted,high,fulltext,3,AIM2|GSDMB|GSDMD,"Our study constructed a 3 -gene prognostic signature (AIM2, GSDMB, GSDMD) and proved that it could predict OS in BC patients.",Y,include
35127296,PMC8796709,Identification and validation of a novel signature for prediction the prognosis and immunotherapy benefit in bladder cancer.,2022,extracted,high,abstract,5,FASN|PCOLCE2|RGS1|SPINT1|TPST1,"Finally, quantitative Real-time PCR (qRT-PCR) analysis was conducted to determine the expression of mRNAs in BC cell lines (UM-UC-3, EJ-1, SW780 and T24).We built a signature comprised the eight mRNAs: CNKSR1, COPZ2, CXorf57, FASN, PCOLCE2, RGS1, SPINT1 and TPST1.",Y,include
34530089,,Construction and verification of a prognostic risk model based on immunogenomic landscape analysis of bladder caner.,2022,extracted,high,abstract_window,6,CD4|CTLA4|CD47|CD276|CXCL8|HAVCR2,"er (BCa) patinets. 350 differential expressed immune-related genes (DEIRGs) were obtained according to the transcriptome profiling and immune-related genes from the Cancer Genome Atlas (TCGA) database and ImmPort database, respectively. A prognostic risk model was constructed based on 15 hub genes through univariate, multivariate, and LASSO Cox regression analyses. The area under the receiver operating characteristic (ROC) curve was 0.743, indicating the superiority of the model. The scatter plo",N,include
35023971,PMC8743383,Characterization of an Autophagy-Immune Related Genes Score Signature and Prognostic Model and its Correlation with Immune Response for Bladder Cancer.,2022,extracted,high,fulltext_window,4,SLFN11|GUK1|CCNL2|BTN3A3,"e the prognosis signature in overall set, testing set and GSE13507 dataset. (F and G) The DCA curve and multivariate ROC curve were performed to evaluate predictive accuracy of risk score and nomogram. The results showed that the predictive accuracy risk score and nomogram were higher than other clinicopathological features including age, gender, grade, stage. (H) Prognosis-related nomogram was constructed based on risk score in the model and prognosis-associated clinicopathological parameters i",Y,include
35027921,PMC8749226,"Identification of a Novel PPAR Signature for Predicting Prognosis, Immune Microenvironment, and Chemotherapy Response in Bladder Cancer.",2021,extracted,high,abstract,4,CPT1B|CALR|AHNAK|FADS2,"The candidate small molecule drugs targeting PPAR-targeted genes were screened by the CMAP database.We constructed and validated the prognostic signature comprising of 4 PPAR-targeted genes (CPT1B, CALR, AHNAK, and FADS2), which was an independent prognostic biomarker in BLCA patients.",Y,include
33459039,,Construction of a immune-associated genes based prognostic signature in bladder cancer.,2021,extracted,high,fulltext_window,5,STAT1|ANXA6|CACYBP|AHNAK|CALR,"els of STAT1, ANXA6, CACYBP, AHNAK and CALR were determined by the comparative threshold cycle (Ct) method using the formula 2 /C0 (DDCt). The relationship between M2 TAMs secreted TGF- b1 and five IAGs in T24 cells TIMER analysis indicated that the signature was significantly related to macrophages in BC. Current studies have demon- strated that M2 tumour-associated macrophages (TAMs) can secret transforming growth factor- b1 (TGF- b1), which played an important role in the immune response and ",Y,include
34849009,PMC8627284,Novel Ferroptosis-Related Multigene Prognostic Models for Patients with Bladder Cancer.,2021,extracted,high,fulltext,7,PDCD1|CD274|CTLA4|HAVCR2|LAG3|TIGIT|TOX,"To further confirm our presumption, the expressions of immune checkpoint genes and exhausted T-cell signatures (PDCD1, CD274, CTLA4, HAVCR2, LAG3, TIGIT, TOX) were compared between the two groups (Figure 6C–I).",Y,include
34803395,PMC8594790,A Newly Defined Pyroptosis-Related Gene Signature for the Prognosis of Bladder Cancer.,2021,extracted,high,fulltext,5,BAK1|GZMB|IRF1|TP63|AIM2,"The study constructed a signature featuring 8 pyroptosis-related genes (BAK1, GZMB, IRF1, TP63, AIM2, NOD 2, TNF and GZMA) and found it could forecast survival in BC patients.BAK1 is initially established as an ultimate death effector of apoptosis triggering cues.",Y,include
34706720,PMC8549165,Development and validation of a novel lipid metabolism-related gene prognostic signature and candidate drugs for patients with bladder cancer.,2021,extracted,high,abstract_window,3,CTLA4|LAG3|HAVCR2,n and patient clinical data were obtained from The Cancer Genome Atlas (TCGA) and Gene Expression Omnibus (GEO) datasets. Cox regression analysis and least absolute shrinkage and selection operator (LASSO) regression analysis was used to construct a signature for predicting overall survival of patients with BLCA. Kaplan-Meier analysis was performed to assess prognosis. The connectivity Map (CMAP) database was used to identify small molecule drugs for treatment. A nomogram was constructed and ass,Y,include
