pmid,pmcid,title,year,extraction_status,confidence,source,n_genes,genes,context,has_fulltext
40626022,PMC12229847,Epigenetic dysregulation-induced metabolic reprogramming fuels tumor progression in bladder cancer.,2025,extracted,high,fulltext_window,4,ALDH1B1|ALDH1L2|CHSY1|CSGALNACT2,"doplasmic reticulum and mitochondrial ‘cellular compartments’ (Supplementary Figures S1A–C). Overall, these findings highlight that diverse metabolic processes are rewired during the course of tumor progression in bladder cancer.3.2 A metabolic gene signature determines aggressive disease state and poor survival in bladder cancerTo pinpoint critical metabolic hub genes, we initially built an interaction network using the STRING database and observed that 92 out of the 105 candidate genes formed ",Y
40631135,PMC12236773,Intrinsic higher potency of basal urothelial cells to intermediate and umbrella cells as the cell of origin for bladder cancer.,2025,excluded,missing,none,0,,derived mouse-cluster signature not provided as an extractable gene list,Y
40703521,PMC12283629,Identification of lactylation-associated immune and metabolic regulators in bladder cancer via integrated bulk and single-cell transcriptomics.,2025,extracted,high,fulltext_window,3,FASN|RUNX2|FAS,"er cancer (BLCA) progression, yet their underlying mechanisms and regulatory genes remain poorly understood.MethodsUsing transcriptomic data from The Cancer Genome Atlas (TCGA), we identified lactylation-associated genes and constructed a prognostic signature. Comprehensive bioinformatics analyses were conducted to assess immune infiltration, tumor microenvironment characteristics, and the lactylation landscape at the single-cell level. Furthermore, we performed in vitro experiments to evaluate ",Y
40867253,PMC12384837,Gene Expression in Muscle-Invasive and Non-Muscle-Invasive Bladder Cancer Cells Exposed to Hypoxia.,2025,extracted,high,fulltext,3,SYDE1|SLC2A3|DPYSL2,"There were five genes in both signatures (SYDE1, SLC2A3, DPYSL2, FUT11, P4HA2).",Y
40916434,,Mevalonate Metabolic Reprogramming Drives Cisplatin Resistance in Bladder Cancer: Mechanisms and Therapeutic Targeting.,2025,excluded,missing,none,0,,no explicit gene-list risk model in accessible text,N
40918470,PMC12408864,Integrating Spatial Multi-Omics and Machine Learning to Unravel the Role of PANoptosis in Bladder Cancer Prognosis and Immunotherapy Response.,2025,extracted,high,fulltext,4,BAX|CASP1|CASP8|PYCARD,"In renal tumors, Xu and colleagues formulated a signature for broad-spectrum cell death founded on genes related to this process (BAX, CASP1, CASP8, PYCARD) and found that a high score for broad-spectrum cell death was linked to heightened infiltration of the immune system, increased effectiveness of immunotherapy, and the detection of a novel target for treatment, PYCARD [23].",Y
40994220,,RNA m5C Modifications in the Development and Prognosis of Muscle-Invasive Bladder Cancer.,2025,extracted,high,abstract,11,GGA1|NUMBL|ECHDC2|NLRC5|EIF2D|GJA1|XPC|DAZAP2|C6orf120|WDR45|CES1,"This approach yielded an optimized 11-gene prognostic signature comprising GGA1, NUMBL, ECHDC2, NLRC5, EIF2D, GJA1, XPC, DAZAP2, C6orf120, WDR45, and CES1, which demonstrated superior predictive performance in TCGA MIBC patients.",N
41137061,PMC12553166,Single-cell stemness analysis highlights Midkine-LRP1 pathway and identifies new bladder cancer subtypes.,2025,extracted,high,fulltext_supp_table,16,SH3PXD2B|SLC7A6|ANXA1|GSDMB|STXBP6|TRAV26-1|EGFL6|HMHB1|LINC01450|LINC02691|C7orf65|TRAV34|TRDV1|IGHD2-2|MST1R|LINC01625,Supplementary Table S12 lists the genes in the multivariable risk model; noncoding identifiers retained for transparency.,Y
41144872,,Intratumoral Expression of a Composite B Cell / CD8 T Cell Biomarker Stratifies Overall Survival by Circulating Tumor DNA Status and Benefit From Adjuvant Immunotherapy in High-Risk Muscle-Invasive Urothelial Carcinoma.,2026,excluded,missing,none,0,,evaluated existing B-cell/CD8 T-cell gene signatures; no new extractable list,N
41153362,PMC12563593,Integrative Analysis of Biomarkers for Cancer Stem Cells in Bladder Cancer and Their Therapeutic Potential.,2025,extracted,high,fulltext_window,13,ALDH1A1|CBX7|CSPG4|DCN|FASN|INHBB|MYC|NCAM1|TLR2|EGFR|MET|ITGA3|ITGB1," genes and Cancer-Associated Fibroblast (CAF) infiltration levels (see Table S5 for detailed results). The agreement between single-cell data and bulk tissue analysis strongly highlights the pivotal role of CAFs in the biology of our identified gene signature.Figure 8Tumor microenvironment cell states and hub genes’ expression (scRNA-seq). (A) The UMAP shows 8 cell populations along with feature plots for 8 hub genes, including ALDH1A1, CBX7, CSPG4, DCN, FASN, INHBB, MYC, and NCAM1. (B) The expr",Y
41388608,PMC13238752,Tumor-stromal crosstalk and macrophage enrichment are associated with chemotherapy response in bladder cancer.,2026,extracted,high,fulltext_window,3,CXCL1|CXCL5|CXCL8,"confirmed overexpression of immunomodulating markers including checkpoints PD‐L1 and PD‐L2 in Non‐Responder cancer cells upon Gem/Cis treatment. Using TCGA bladder cancer data, the transcriptomic gene set was further validated revealing a prognostic signature associated with patients' outcome. These findings uncover a novel mechanism of chemotherapy resistance in bladder cancer driven by tumor–stromal interactions and macrophage recruitment and suggest that targeting macrophage infiltration may ",Y
41507856,PMC12882559,"MXRA8, a key palmitoylation-related gene, promotes bladder cancer progression via remodeling tumor microenvironment and predicts poor prognosis.",2026,extracted,high,fulltext_window,9,SERINC5|CARD11|PPL|FAM3D|MXRA8|CSPG4|IGFBP3|TSPAN8|SERPINB7,"ulation of this pathway by regulating the membrane localization of glycosyltransferase, providing a potential mechanism for the difference in prognosis of PRG subtypes [34].Another important contribution was the construction and validation of a PRGs risk score model containing nine genes (SERINC5, CARD11, PPL, FAM3D, MXRA8, CSPG4, IGFBP3, TSPAN8 and SERPINB7). Current prognostic models of BLCA are mostly based on single molecular types (such as lncRNA, methylation sites) [35, 36]. However, this ",Y
41582171,PMC12914921,Exploration of neutrophil-associated genes in the prognosis of bladder urothelial carcinoma based on a machine learning and multi-omics data integration framework.,2026,extracted,high,fulltext,3,TOR1AIP2|TCIRG1|SLC2A3,"Ultimately, a risk model consisting of 6 genes (TOR1AIP2, TCIRG1, SLC2A3, SLC9A3R1, MAFG, and DEDD2) was established.",Y
41668898,PMC12885747,Revealing the function and mechanism of piRNA-related genes in bladder cancer through single-cell sequencing and methylation analyses and construction of prognostic features based on consensus clustering.,2026,extracted,high,abstract,3,MAPK13|INHBA|LAMB2,"A prognostic model comprising MAPK13, INHBA, and LAMB2 was constructed using consensus clustering technology.",Y
41685329,PMC12891155,Transcriptome and single-cell RNA sequencing analysis with 101 machine learning combinations and experimental verification reveals the mechanism of action of mannose metabolism in bladder cancer.,2026,extracted,high,fulltext_window,4,PFKFB4|CALR|SLMAP|TMTC1,"mune contexture. Our macrophage-centric communication patterns and stromal enrichments in the high-risk group mirror these findings, positioning mannose-linked genes within similar ecological niches (61, 62). Notably, PFKFB4—another core gene in our signature—further links to this TME ecosystem by mediating cancer metabolic rewiring and hypoxia resilience. Its regulation of glycolysis likely provides the metabolic foundation for the macrophage-biased TME observed in high-risk groups (63). Additi",Y
41715136,PMC13032607,"Single-cell transcriptomic analysis and machine learning identify ATAD3A as a key gene that stabilizes mitochondrial-endoplasmic reticulum membranes, promoting bladder cancer progression.",2026,extracted,high,fulltext,4,ACSL4|ATAD3A|FUNDC1|PSEN2,"This analysis identified four key genes (ACSL4, ATAD3A, FUNDC1, and PSEN2) for the MAM signature.",Y
41727459,PMC12920588,Prognostic significance of calcium signaling-related genes in bladder cancer and the role of ATP2B4 in regulating mitochondrial calcium ion levels via the VDAC1/MCU pathway.,2026,extracted,high,abstract,6,ATP2B4|BDKRB2|EDNRA|PDGFRA|EGFR|ADCY7,"A prognostic signature containing six genes (ATP2B4, BDKRB2, EDNRA, PDGFRA, EGFR, and ADCY7) was ascertained to anticipate the overall survival of BLCA.",Y
41794187,,"Unraveling the connection between PFOA and bladder cancer: A study integrating network toxicology, molecular docking, and experimental validation.",2026,excluded,missing,none,0,,16-gene list not provided in accessible abstract/full text,N
41836296,PMC12982390,FAM-related prognostic molecular subtype screening identified epithelial-derived MAOA-inhibiting bladder cancer.,2026,extracted,high,abstract,4,PATZ1|TTC6|AEBP1|MAOA,"The FAMR signature comprising PATZ1, TTC6, AEBP1, and MAOA was established.",Y
41862905,PMC13126897,A machine learning-based epigenetic signature reveals YTHDC1 stabilizes POU5F1 to oppose tumor progression.,2026,extracted,high,fulltext_window,6,YTHDC1|SIRT6|PCGF5|HDAC6|CREBZF|ATF7IP2,"n reported to have satisfactory efficacy [24]. Still, these studies lack functional validation of candidate genes or external validation across cohorts. In this study, by screening epigenetic-related genes in TCGA and enumerating the combinations, a signature was constructed and validated across four completely independent datasets. The signature outperformed previously reported models and other machine learning algorithms. It reflected clinical, genetic and transcriptomic heterogenety of bladde",Y
42164400,PMC13184187,Bioinformatics analysis and experimental approach identify BRD-family gene DSP as a diagnostic and prognostic indicator in bladder cancer.,2026,extracted,high,fulltext,7,DSP|DSC2|HSPG2|GJA1|TXNRD1|PCDHGC3|PEG10,"Seven key genes (DSP, DSC2, HSPG2, GJA1, TXNRD1, PCDHGC3, PEG10) were retained to establish the risk model within the TCGA-BLCA training cohort.",Y
42220482,PMC13218921,Identification of succinylation-related genes in bladder cancer: integration of single-cell and transcriptomic data.,2026,extracted,high,abstract_window,3,KCTD16|CD3D|GSDMB,"namic expression patterns of the core genes. Finally, the expression profiles and functional roles of the core genes were validated using RT-qPCR and CCK-8 proliferation assays in vitro.KCTD16, CD3D and GSDMB were identified as prognostic genes. The risk score derived from these genes, in combination with age and N stage, was incorporated into a risk model that exhibited robust predictive accuracy (AUC > 0.7). Expression of these genes differed significantly between non-muscle-invasive and muscl",Y
42251607,PMC13309580,Integrative multi-omics identifies a glycosylation-based prognostic framework and nominates ALG3 for targeted therapy in bladder cancer.,2026,extracted,high,fulltext_window,6,CD274|CTLA4|POLE2|MCM6|FAP|LOXL2,", the higher the risk score (Fig. 4A). These results suggest that the risk signature of glycosylation-related mRNAs is positively correlated with the clinicopathological characteristics of BCLA patients. Next, we explored the correlation between the risk score and the immune milieu and found that the risk score was correlated with fibroblasts (Fig. 4B). Further investigation revealed that the risk score was positively correlated with the expression of key genes involved in immune checkpoint inhi",Y
42279297,PMC13255594,Abnormal Sialylation Promotes Chemotherapy Resistance in Bladder Cancer via the PI3K-AKT-mTOR Signaling Pathway.,2026,extracted,high,fulltext_window,5,ST3GAL5|ST3GAL6|SIGLEC6|SIGLEC10|B3GALT2,"d into three subtypes: C1, C2, and C3. Survival differences among the subtypes were analyzed using the Kaplan–Meier method and log rank test, and the tumor microenvironment scores were merged with the subtype results by sample ID for comparison. For prognostic model construction, TCGA samples were randomly divided into training and validation sets at a 7:3 ratio using the caret package. In the training set, univariate Cox regression was first performed with a threshold of p < 0.05, followed by L",Y
42319469,,Single-cell transcriptomics identifies key immune-suppressive cells and their driver genes in the bladder cancer microenvironment with prognostic implications.,2026,extracted,high,abstract,6,TMEM74B|ABCC9|FCMR|ALG9|SUSD2|ETV7,"A prognostic model established using myCAF-related signature genes (TMEM74B, ABCC9, FCMR, ALG9, SUSD2, and ETV7) exhibited stable predictive performance in both training and validation cohorts, with SUSD2 identified as a risk-related gene.",N
42371282,,Targeting macrophage-associated core genes for prognostic prediction and therapeutic insights in bladder cancer.,2026,extracted,high,abstract,3,ANXA1|ST3GAL5|VIM,"Furthermore, key genes in the prognostic model were validated using PCR, Western blot, and immunohistochemistry.This study identified 11 core genes significantly associated with macrophages and developed a risk prediction model based on ANXA1, ST3GAL5, and VIM.",N
42436233,,Associations between the intratumoral microbiome and the host transcriptome in bladder cancer and their implications for prognostic prediction.,2026,extracted,high,abstract,4,SLC1A6|BCHE|TXNRD1|CFL2,"Through LASSO regression, we constructed and externally validated a Methylobacterium-associated four-gene prognostic signature (SLC1A6, BCHE, TXNRD1, CFL2).",N
42555166,,Integrated Immunological Analysis of Interactions Between CXCL13+ T Cells and LAMP3+ DC in the Immunotherapy Response of Bladder Cancer.,2026,extracted,high,abstract_window,10,CXCL13|LAMP3|CD4|TSHZ2|ALOX5AP|GADD45G|TXN|CHN1|CCL19|ICA1,"tients, 113,905 post-quality-control cells) and spatial transcriptomics to characterize CXCL13+ T cell/LAMP3+ DC subsets, their differentiation pathways (via Velocyto trajectory analysis), and intercellular crosstalk (via receptor-ligand mapping). A risk model (DTscore) was constructed using marker genes of these cells and validated in the IMvigor210 (atezolizumab-treated bladder cancer) and TCGA-BLCA cohorts. scRNA-seq clustering identified 10 immune and 3 nonimmune cell types, with T cells str",N
